1	4	9.4	0	0
2	4	13.3	0	0
3	4	21.7	1	0
4	4	20.6	1	1
5	4	22.8	1	0
6	4	23.3	1	0
7	4	20.6	1	1
8	4	20.6	1	1
11	4	23.3	1	0
12	4	7.2	0	0
13	4	11.1	0	0
14	4	12.8	0	0
15	4	17.8	1	0
16	4	17.2	1	1
17	4	19.4	1	0
18	4	17.2	1	1
19	4	17.8	1	1
22	4	4.4	0	0
23	4	5	0	0
24	4	6.1	0	0
25	4	9.4	0	0
26	4	16.1	1	0
27	4	13.9	1	0
28	4	13.9	1	1
29	4	17.8	1	1
30	4	18.9	1	0
33	4	6.1	0	0
34	4	7.2	0	0
35	4	8.3	0	0
36	4	18.3	1	1
37	4	18.3	1	1
38	4	21.1	1	0
39	4	22.2	1	0
42	4	10	0	0
43	4	10.6	0	1
44	4	13.9	0	0
45	4	16.7	0	0
46	4	22.8	1	0
47	4	21.1	1	1
48	4	21.1	1	1
49	4	23.3	1	1
50	4	23.3	1	1
53	5	21.1	1	0
54	6	18.9	0	0
55	6	30	1	0
56	6	27.8	1	1
57	4	12.8	0	1
58	4	16.7	0	0
59	4	12.8	0	0
60	4	24.4	1	0
63	5	18.9	1	1
64	6	17.8	0	0
65	6	15.6	0	0
66	6	28.3	1	1
67	6	27.2	1	1
68	4	14.4	0	0
69	4	18.3	0	0
70	4	22.8	1	1
71	4	21.7	1	1
72	4	21.7	1	0
73	4	23.3	1	1
74	4	23.9	1	1
77	5	21.7	1	0
78	6	16.7	0	0
79	6	17.2	0	1
80	6	27.8	1	1
81	4	9.4	0	1
82	4	16.7	0	1
83	4	14.4	0	0
84	4	22.8	1	0
85	4	22.2	1	1
86	4	25	1	1
87	4	22.2	1	0
88	4	24.4	1	0
91	5	21.1	1	0
92	6	18.9	0	1
93	6	17.8	0	0
94	6	27.8	0	0
95	6	33.3	1	0
96	4	6.1	0	1
97	4	8.9	0	0
98	4	7.8	0	0
99	4	6.7	1	1
100	4	6.7	1	1
101	4	5	1	1
102	4	5.6	1	1
103	4	8.3	1	0
106	5	20.6	1	1
107	6	21	0	0
108	6	21	0	0
109	6	30	1	0
110	4	3.3	0	0
111	4	7.8	1	1
112	4	8.3	1	1
113	5	11.7	0	0
114	5	15.6	1	0
115	6	33.3	1	1
116	6	33.3	1	1
117	4	2.2	0	1
118	4	16.7	1	1
119	4	13.9	1	0
120	5	8.9	0	0
121	5	17.8	0	1
122	6	20	0	0
123	6	33	1	1
124	4	8.3	0	0
125	4	17.8	1	1
126	6	23.9	0	1
127	6	35	1	0
128	4	7.8	0	0
129	4	15.6	0	0
130	4	20	1	1
131	4	22.8	1	0
132	5	26.1	1	1
133	6	22.2	0	1
134	6	22.2	0	1
135	6	34.4	1	1
136	6	34.4	1	1
137	4	13.9	0	1
138	4	23.3	1	1
139	4	23.9	1	0
140	5	29.4	1	0
141	6	30.6	1	1
142	4	7.8	0	0
143	4	22.8	1	0
144	4	25.6	1	0
145	5	16.1	0	0
146	5	30	1	1
147	6	28.9	0	0
148	4	25.6	1	1
149	5	13.9	0	0
150	5	28.9	1	1
151	6	31.1	1	1
152	4	9.4	0	1
153	4	15	1	1
154	4	14	1	1
155	5	16.1	0	1
156	5	28.3	1	1
157	6	30.6	1	1
158	4	8.9	1	1
159	4	8.9	1	1
160	5	13.3	0	0
161	5	21.7	0	0
162	5	23.3	1	1
163	6	18.3	0	0
164	6	27	1	1
165	6	27	1	1
166	6	27	1	1
167	6	27	1	1
168	6	27	1	1
169	4	-1.1	0	0
170	4	12.2	1	1
171	4	14.4	1	1
172	5	14.4	0	0
173	5	22.2	1	1
174	5	22.8	1	0
175	6	32.2	1	1
176	4	6.1	0	0
177	4	16.1	0	0
178	4	18.3	1	0
179	5	12.2	0	1
180	5	12.2	0	0
181	5	21.7	1	1
182	5	22.8	1	1
183	4	19.4	1	0
184	4	21.1	1	0
185	4	22.8	3	0
186	5	11.7	0	1
187	5	11.7	0	0
188	5	22.8	1	0
189	5	24.4	1	1
190	4	10	0	1
191	4	26.1	1	0
192	4	27.2	1	1
193	4	25.6	1	1
194	5	27.2	1	1
195	5	28.3	1	1
196	4	10.6	0	0
197	4	20	1	0
198	4	18.3	1	1
199	5	16.7	0	1
200	5	16.7	0	0
201	5	30.6	1	1
202	4	0	0	0
203	4	17.8	1	1
204	5	17.2	0	0
205	5	17.2	0	0
206	5	27.8	1	0
207	5	29.4	1	0
208	4	24.4	1	1
209	5	15.6	0	0
210	5	26.7	0	0
211	5	29.4	1	1
212	4	22.8	1	0
213	5	15.6	0	0
214	5	15.6	0	0
215	5	28.3	1	0
216	5	16.1	0	0
217	5	16.1	0	0
218	5	25	1	0
219	5	26.7	1	0
220	4	10.6	0	1
221	4	25	1	1
222	4	25	1	1
223	5	13.3	0	0
224	5	13.3	0	1
225	5	26.7	1	1
226	4	28.9	1	1
227	5	25.6	1	0
228	5	26.1	1	0
229	4	13.3	0	0
230	4	28.9	1	1
231	5	14.4	0	0
232	5	14.4	0	0
233	5	28.3	1	0
234	5	30	1	1
235	5	18.9	0	0
236	5	18.9	0	0
237	5	30	1	0
238	5	30	1	1
239	4	9.4	0	0
240	4	13.3	0	0
241	4	15	0	0
242	4	20.6	1	1
