4	7	1552	2	10140	23.3	-11.1	0.09	14.5377	7.2	11259	1
4	7	1652	2	10140	23.9	-11.7	0.09	14.5319	6.2	11259	1
4	7	1852	3	10140	22.2	-10.6	0.1	14.5406	4.6	14107	0
4	7	2052	3	10140	20	-11.7	0.11	14.54785	5.1	11259	0
4	8	552	1	10140	9.4	-6.7	0.32	14.52465	3.1	11259	1
4	8	852	1	10140	14.4	-4.4	0.27	14.6189	1.5	11259	0
4	8	952	1	10140	16.7	-5	0.22	14.4913	2.6	11259	1
4	8	1252	2	10140	22.2	-5.6	0.15	14.42315	13.4	10821	0
4	8	1552	2	10140	25	-6.7	0.12	14.34775	17	11259	1
4	8	1652	2	10140	24.4	-11.1	0.09	14.3463	14.9	11259	0
4	8	1852	3	10140	22.2	-11.1	0.1	14.35065	13.9	14107	1
4	8	2052	3	10140	20.6	-10.6	0.11	14.35355	8.2	11259	0
4	9	552	1	10140	8.9	2.2	0.63	14.3927	5.1	11259	0
4	9	852	1	10140	7.8	-3.9	0.44	14.45215	9.8	11259	0
4	9	952	1	10140	6.1	-0.6	0.62	14.4826	8.2	11259	1
4	9	1252	1	10140	6.7	-1.1	0.58	14.5261	6.2	11259	0
4	9	1552	2	10140	5	1.1	0.76	14.5638	1.5	11259	1
4	9	1652	2	10140	5.6	2.2	0.79	14.55365	7.7	11259	1
4	9	1852	3	10140	7.8	1.1	0.63	14.57105	3.9	14107	1
4	9	2052	3	10140	5.6	1.1	0.73	14.6131	3.1	11259	0
4	10	552	1	10140	3.9	-1.1	0.7	14.65805	5.1	11259	0
4	10	852	1	10140	3.3	-6.1	0.51	14.7001	5.7	11250	1
4	10	952	1	10140	5	-6.1	0.45	14.6914	5.1	11259	0
4	10	1252	2	10140	8.3	-4.4	0.41	14.6682	1.5	10821	1
4	10	1552	2	10140	8.3	-1.7	0.5	14.65805	3.6	11259	1
4	10	1652	2	10140	8.3	-4.4	0.41	14.66095	7.2	11259	1
4	10	1852	3	10140	7.2	-7.8	0.34	14.67835	8.2	14107	1
4	10	2052	3	10140	6.1	-7.2	0.38	14.6972	2.6	11259	0
4	11	552	1	10140	2.8	-8.9	0.42	14.6798	4.1	11259	0
4	11	852	1	10140	5	-8	0.39	14.72475	3.1	11259	0
4	11	952	1	10140	7.8	-8.3	0.31	14.69285	6.7	11259	1
4	11	1252	2	10140	13.9	-7.2	0.23	14.65515	0.29	10821	0
4	11	1552	2	10140	18.3	-3.3	0.23	14.6073	7.2	11259	1
4	11	1652	2	10140	17.8	-3.3	0.24	14.5957	8.2	11259	1
4	11	1852	3	10140	16.1	-2.8	0.27	14.60585	7.2	14107	1
4	11	2052	3	10140	14.4	-2.2	0.32	14.62035	5.7	11259	0
4	12	552	1	10140	7.2	-2.2	0.52	14.6334	2.1	11259	0
4	12	852	1	10140	11.7	-1.7	0.4	14.64935	2.1	11259	0
4	12	952	1	10140	13.3	-1.1	0.37	14.645	0.29	11259	1
4	12	1252	2	10140	17.8	-1.7	0.27	14.6276	1.5	10821	1
4	12	1552	2	10140	19.4	-5.6	0.18	14.5928	8.2	11259	1
4	12	1652	2	10140	18.3	-5.6	0.19	14.59425	4.1	11259	1
4	12	1852	3	10140	18.9	-6.1	0.18	14.58845	2.6	14107	1
4	12	2052	3	10140	16.1	-3.3	0.26	14.60875	2.1	11259	1
